epoch,global_step,step,tr/batches_p_sec,tr/grad_abs_ave,tr/grad_ave,tr/grad_max,tr/learning_rate,tr/loss,tr/loss_is_nan,tr/loss_ml,tr/output_abs_ave,tr/output_ave,tr/output_max,tr/output_std,tr/time_p_batch,val/angular_ave_max_error,val/angular_ave_max_error_std,val/angular_error,val/angular_error_std,val/ave_model_runtime,val/joint_limits_exceeded,val/l2_ave_max_error,val/l2_ave_max_error_std,val/l2_error,val/l2_error_std,val/self_collisions,val_clamped/angular_ave_max_error,val_clamped/angular_ave_max_error_std,val_clamped/angular_error,val_clamped/angular_error_std,val_clamped/joint_limits_exceeded,val_clamped/l2_ave_max_error,val_clamped/l2_ave_max_error_std,val_clamped/l2_error,val_clamped/l2_error_std,val_clamped/self_collisions
,,100,117.3100632097108,,,,0.0001,-8.432279586791992,0,-8.432279586791992,0.800345242023468,0.03776105120778084,3.1807680130004883,0.9532064199447632,0.008524417877197266,,,,,,,,,,,,,,,,,,,,,
,,100,,0.07541054463475423,-0.03177822974879755,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,125,118.03303785000703,,,,0.0001,-11.536991119384766,0,-11.536991119384766,0.7735516428947449,0.06984037905931473,3.4278876781463623,0.9250141382217407,0.008472204208374023,,,,,,,,,,,,,,,,,,,,,
,,125,,0.054764737280493136,-0.006997489791743305,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150,116.96330172894591,,,,0.0001,-11.539704322814941,0,-11.539704322814941,0.8154348731040955,0.04271363839507103,3.6938891410827637,0.9812454581260681,0.008549690246582031,,,,,,,,,,,,,,,,,,,,,
,,150,,0.054356819896687135,0.0026550730008262726,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,175,141.90560611699428,,,,0.0001,-9.291707038879395,0,-9.291707038879395,1.0187268257141113,0.015593078918755054,4.654679775238037,1.2743642330169678,0.007046937942504883,,,,,,,,,,,,,,,,,,,,,
,,175,,0.1104838388000644,0.03426456736734451,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,,3.1275663328170777,0.013992767100223352,2.1490890979766846,2.1490890979766846,0.0057427406311035155,39.550000000000004,1.3286197805404663,0.2026970333418118,0.6733244061470032,0.31949731707572937,0.2,3.127386908531189,0.01174597557840329,2.1428616046905518,2.1428616046905518,0.0,1.2979916155338287,0.18430205854452844,0.6422751545906067,0.31023839116096497,0.04
0,200.0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,110.20531280380462,,,,0.0001,-12.806999206542969,0,-12.806999206542969,0.8482681512832642,0.12074333429336548,3.0602164268493652,0.9976165294647217,0.009073972702026367,,,,,,,,,,,,,,,,,,,,,
,,200,,0.05554582351078352,0.016381536619048138,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,225,137.80280579557774,,,,0.0001,-12.886299133300781,0,-12.886299133300781,0.8658537864685059,0.011506211012601852,3.7237367630004883,1.0373356342315674,0.007256746292114258,,,,,,,,,,,,,,,,,,,,,
,,225,,0.06335058891105898,0.022149784789145126,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,250,109.12152353201343,,,,0.0001,-12.977150917053223,0,-12.977150917053223,0.843185544013977,0.08127929270267487,3.953775405883789,1.0028717517852783,0.009164094924926758,,,,,,,,,,,,,,,,,,,,,
,,250,,0.053817388089858774,0.0013279543259538211,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,275,150.32808859897494,,,,0.0001,-13.8427734375,0,-13.8427734375,0.8132337927818298,0.016631897538900375,2.8419320583343506,0.9776099324226379,0.006652116775512695,,,,,,,,,,,,,,,,,,,,,
,,275,,0.030549200035162965,-0.0041326865483407955,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300,,,,,,,,,,,,,,3.1222071695327758,0.020689651883896605,2.1390469074249268,2.1390469074249268,0.005628745555877685,43.82,1.338687869310379,0.2131599249518775,0.6559127569198608,0.3171977996826172,0.26,3.1216304063797,0.016711266585472905,2.123560667037964,2.123560667037964,0.0,1.2674224770069122,0.18195039406912855,0.6111485362052917,0.2988922894001007,0.06
0,300.0,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
